""", 1.0.0, ISC
type-detect, 0.1.1, MIT
type-detect, 1.0.0, MIT
type-detect, 4.0.3, MIT
type-fest, 0.4.1, "(MIT OR CC0-1.0)"
type-is, 1.6.13, MIT
type-is, 1.6.15, unknown
type-is, 1.6.16, MIT
type-is, 1.6.18, MIT
typeahead, 0.2.2, "Apache 2.0"
typedarray, 0.0.6, MIT
typedarray-to-buffer, 3.1.5, MIT
typescript, 2.8.1, "Apache 2.0"
typescript, 2.9.2, "Apache 2.0"
ua-parser-js, 0.7.18, "(GPL-2.0 OR MIT)"
uc.micro, 1.0.3, WTFPL
uglify-es, 3.3.9, "Simplified BSD"
uglify-js, 2.2.5, UNKNOWN
uglify-js, 2.3.6, BSD*
uglify-js, 2.4.24, BSD
uglify-js, 2.5.0, "Simplified BSD"
uglify-js, 2.6.4, "Simplified BSD"
uglify-js, 2.7.0, "Simplified BSD"
uglify-js, 2.7.4, "Simplified BSD"
uglify-js, 2.7.5, "Simplified BSD"
uglify-js, 2.8.29, "Simplified BSD"
uglify-js, 3.0.24, "Simplified BSD"
uglify-js, 3.3.5, "Simplified BSD"
uglify-js, 3.4.0, "Simplified BSD"
uglify-js, 3.4.10, "Simplified BSD"
uglify-js, 3.4.9, "Simplified BSD"
uglify-js, 3.5.15, "Simplified BSD"
uglify-js, 3.5.4, "Simplified BSD"
uglify-save-license, 0.4.1, MIT
uglify-to-browserify, 1.0.2, MIT
uglifyjs-webpack-plugin, 0.4.6, MIT
uglifyjs-webpack-plugin, 1.3.0, MIT
uid-number, 0.0.6, ISC
ultron, 1.0.2, MIT
ultron, 1.1.1, MIT
umd, 2.0.0, MIT
umd, 3.0.1, MIT
unbzip2-stream, 1.2.5, unknown
unbzip2-stream, 1.3.3, MIT
unc-path-regex, 0.1.2, MIT
undefsafe, 2.0.2, MIT
underscore, 1.6.0, MIT
underscore, 1.8.3, MIT
underscore, 1.9.1, MIT
unicode-canonical-property-names-ecmascript, 1.0.4, MIT
unicode-match-property-ecmascript, 1.0.4, MIT
unicode-match-property-value-ecmascript, 1.0.2, MIT
unicode-match-property-value-ecmascript, 1.1.0, MIT
unicode-property-aliases-ecmascript, 1.0.4, MIT
unicode-property-aliases-ecmascript, 1.0.5, MIT
union-value, 1.0.0, MIT
uniq, 1.0.1, MIT
uniqid, 4.1.0, MIT
uniqid, 4.1.1, MIT
uniqs, 2.0.0, MIT
unique-filename, 1.1.1, ISC
unique-slug, 2.0.1, ISC
unique-stream, 1.0.0, BSD
unique-string, 1.0.0, MIT
universalify, 0.1.1, MIT
universalify, 0.1.2, MIT
unorm, 1.5.0, "MIT or GPL-2.0"
unpipe, 1.0.0, MIT
unquote, 1.1.1, MIT
unset-value, 1.0.0, MIT
unzip-response, 1.0.2, unknown
unzip-response, 2.0.1, MIT
upath, 1.1.0, MIT
upath, 1.1.2, MIT
update-notifier, 2.5.0, "Simplified BSD"
upper-case, 1.1.3, MIT
upper-case-first, 1.1.2, MIT
uri-js, 4.2.2, "Simplified BSD"
urix, 0.1.0, MIT
url, 0.10.3, MIT
url, 0.11.0, MIT
url-loader, 0.5.9, MIT
url-loader, 1.1.2, MIT
url-parse, 1.2.0, MIT
url-parse, 1.4.3, MIT
url-parse, 1.4.4, MIT
url-parse, 1.4.7, MIT
url-parse-lax, 1.0.0, MIT
url-set-query, 1.0.0, MIT
url-to-options, 1.0.1, MIT
url2, 0.0.0, MIT
use, 3.1.1, MIT
use-config, 2.0.4, MIT
user-home, 1.1.1, MIT
user-home, 2.0.0, MIT
useragent, 2.1.13, MIT
useragent, 2.2.1, MIT
utf8, 2.1.1, MIT
utf8, 2.1.2, MIT
util, 0.10.3, MIT
util, 0.10.4, MIT
util, 0.11.1, MIT
util-deprecate, 1.0.2, MIT
util.promisify, 1.0.0, MIT
utila, 0.3.3, MIT
utila, 0.4.0, MIT
utils-merge, 1.0.0, MIT
utils-merge, 1.0.1, MIT
uuid, 2.0.1, MIT*
uuid, 2.0.3, MIT
uuid, 3.0.1, MIT
uuid, 3.1.0, unknown
uuid, 3.2.1, MIT
uuid, 3.3.2, MIT
v-money, 0.8.1, MIT
v-tooltip, 2.0.2, ISC
v8flags, 2.0.11, MIT
v8flags, 2.1.1, MIT
validate-npm-package-license, 3.0.1, "Apache 2.0"
validate-npm-package-license, 3.0.4, "Apache 2.0"
vary, 1.1.0, MIT
vary, 1.1.2, MIT
velocity-animate, 1.5.2, MIT
vendors, 1.0.1, MIT
vendors, 1.0.2, MIT
vendors, 1.0.3, MIT
verror, 1.10.0, MIT
verror, 1.3.6, MIT
vinyl, 0.2.3, MIT
vinyl, 0.4.6, MIT
vinyl, 0.5.3, MIT
vinyl, 1.2.0, MIT
vinyl-file, 1.3.0, MIT
vinyl-fs, 0.3.14, MIT
vinyl-map2, 1.2.1, MIT
vinyl-source-stream, 1.1.0, MIT
vinyl-sourcemaps-apply, 0.2.1, ISC
vis, 4.21.0, "(Apache-2.0 OR MIT)"
vlq, 0.2.1, MIT
vlq, 0.2.3, MIT
vm-browserify, 0.0.4, MIT
vm-browserify, 1.1.2, MIT
void-elements, 2.0.1, MIT
vreme, 3.0.2, MIT
vue, 1.0.28, MIT
vue, 2.0.5, MIT
vue, 2.1.10, MIT
vue, 2.5.13, MIT
vue, 2.5.2, MIT
vue, 2.5.21, MIT
vue, 2.6.10, MIT
vue, ^2.5.13, unknown
vue-append, 1.1.4, MIT
vue-class-component, 6.3.2, MIT
vue-clipboard2, 0.2.1, MIT
vue-codemirror, 4.0.6, MIT
vue-cookie, 1.1.4, MIT
vue-cropperjs, 3.0.0, MIT
vue-draggable, 1.1.1, MIT
vue-dynamic, 0.2.1, MIT
vue-error-page, 1.1.7, MIT
vue-eslint-parser, 2.0.3, MIT
vue-eslint-parser, 5.0.0, MIT
vue-flatpickr-component, 7.0.6, MIT
vue-functional-data-merge, 2.0.7, MIT
vue-headful, 2.0.1, MIT
vue-hot-reload-api, 1.3.3, MIT
vue-hot-reload-api, 2.2.4, MIT
vue-hot-reload-api, 2.3.1, MIT
vue-hot-reload-api, 2.3.3, MIT
vue-html-loader, 1.2.3, MIT
vue-html-loader, 1.2.4, MIT
vue-jest, 3.0.4, MIT
vue-loader, 10.3.0, MIT
vue-loader, 15.4.2, MIT
vue-loader, 15.7.0, MIT
vue-loader, 8.5.4, MIT
vue-markdown-loader, 0.6.2, WTFPL
vue-moment, 4.0.0, MIT
vue-multiselect, 2.1.6, MIT
vue-notification, 1.3.16, MIT
vue-password-strength-meter, 1.4.2, MIT
vue-pdf, 3.3.1, MIT
vue-property-decorator, 7.3.0, MIT
vue-range-slider, 0.6.0, MIT
vue-resize, 0.4.5, MIT
vue-resize-sensor, 2.0.0, MIT
vue-resource, 1.3.5, MIT
vue-router, 3.0.3, MIT
vue-router, 3.0.6, MIT
vue-router, ^3.0.1, unknown
vue-runtime-helpers, 1.0.0, MIT
vue-scrollto, 2.15.0, MIT
vue-select, 2.4.0, MIT
vue-select, 2.6.4, MIT
vue-style-loader, 1.0.0, MIT
vue-style-loader, 2.0.5, MIT
vue-style-loader, 4.1.2, MIT
vue-template-compiler, 2.5.13, MIT
vue-template-compiler, 2.5.21, MIT
vue-template-compiler, 2.6.10, MIT
vue-template-es2015-compiler, 1.6.0, MIT
vue-template-es2015-compiler, 1.9.1, MIT
vue-template-validator, 1.1.5, MIT
vue-tour, 1.1.0, MIT
vuedraggable, 2.21.0, MIT
vuep, 0.8.1, MIT
vuex, 2.5.0, MIT
vuex, 3.1.1, MIT
vuex-i18n, 1.11.0, MIT
vuex-persist, 1.8.0, MIT
w3c-hr-time, 1.0.1, MIT
walker, 1.0.7, "Apache 2.0"
watch, 0.10.0, Apache*
watch, 0.18.0, "Apache 2.0"
watchify, 3.9.0, MIT
watchpack, 0.2.9, MIT
watchpack, 1.1.0, MIT
watchpack, 1.6.0, MIT
wbuf, 1.7.3, MIT
wcwidth, 1.0.1, MIT
weak-map, 1.0.0, UNKNOWN
web3, 0.20.2, LGPL
web3, 1.0.0-beta.34, LGPL
web3-bzz, 1.0.0-beta.34, LGPL
web3-core, 1.0.0-beta.30, unknown
web3-core, 1.0.0-beta.34, LGPL
web3-core-helpers, 1.0.0-beta.34, LGPL
web3-core-method, 1.0.0-beta.34, LGPL
web3-core-promievent, 1.0.0-beta.34, LGPL
web3-core-requestmanager, 1.0.0-beta.34, LGPL
web3-core-subscriptions, 1.0.0-beta.34, LGPL
web3-eth, 1.0.0-beta.34, LGPL
web3-eth-abi, 1.0.0-beta.34, LGPL
web3-eth-accounts, 1.0.0-beta.34, LGPL
web3-eth-contract, 1.0.0-beta.34, LGPL
web3-eth-iban, 1.0.0-beta.34, LGPL
web3-eth-personal, 1.0.0-beta.34, LGPL
web3-net, 1.0.0-beta.34, LGPL
web3-providers-http, 1.0.0-beta.34, LGPL
web3-providers-ipc, 1.0.0-beta.34, LGPL
web3-providers-ws, 1.0.0-beta.34, LGPL
web3-shh, 1.0.0-beta.34, LGPL
web3-utils, 1.0.0-beta.34, LGPL
webidl-conversions, 2.0.1, "Simplified BSD"
webidl-conversions, 3.0.1, "Simplified BSD"
webidl-conversions, 4.0.1, "Simplified BSD"
webidl-conversions, 4.0.2, "Simplified BSD"
webpack, 1.13.3, MIT
webpack, 1.15.0, MIT
webpack, 2.1.0-beta.22, MIT
webpack, 2.7.0, MIT
webpack, 3.12.0, MIT
webpack, 4.18.1, MIT
webpack, 4.28.1, MIT
webpack, 4.28.4, MIT
webpack, 4.32.2, MIT
webpack, ^4.0.0, unknown
webpack-bundle-analyzer, 3.0.3, MIT
webpack-bundle-analyzer, 3.3.1, MIT
webpack-bundle-analyzer, 3.3.2, MIT
webpack-chain, 4.12.1, "Mozilla Public License 2.0"
webpack-core, 0.6.8, MIT
webpack-core, 0.6.9, MIT
webpack-dev-middleware, 1.12.2, MIT
webpack-dev-middleware, 3.4.0, MIT
webpack-dev-middleware, 3.6.2, MIT
webpack-dev-middleware, 3.7.0, MIT
webpack-dev-server, 3.1.10, MIT
webpack-dev-server, 3.3.1, MIT
webpack-dev-server, 3.4.1, MIT
webpack-hot-middleware, 2.21.0, MIT
webpack-log, 2.0.0, MIT
webpack-merge, 0.13.0, MIT
webpack-merge, 4.1.5, MIT
webpack-merge, 4.2.1, MIT
webpack-sources, 0.1.2, MIT
webpack-sources, 0.1.5, MIT
webpack-sources, 1.1.0, MIT
webpack-sources, 1.3.0, MIT
webpack-stream, 3.2.0, MIT
websocket, 1.0.26, "Apache 2.0"
websocket, git://github.com/frozeman/WebSocket-Node.git#7004c39c42ac98875ab61126e5b4a925430f592c, unknown
websocket-driver, 0.7.0, MIT
websocket-extensions, 0.1.3, MIT
websocket-whiteboard-example, 1.0.0, unknown
whatwg-encoding, 1.0.1, WTFPL
whatwg-encoding, 1.0.3, MIT
whatwg-encoding, 1.0.5, MIT
whatwg-fetch, 2.0.4, MIT
whatwg-mimetype, 2.3.0, MIT
whatwg-url, 4.4.0, MIT
whatwg-url, 4.8.0, MIT
whatwg-url, 6.4.0, MIT
whatwg-url, 6.5.0, MIT
whatwg-url, 7.0.0, MIT
whatwg-url-compat, 0.6.5, MIT
when, 3.6.4, MIT
when, 3.7.7, MIT
whet.extend, 0.9.9, MIT
which, 1.2.11, ISC
which, 1.2.12, ISC
which, 1.2.14, ISC
which, 1.3.0, ISC
which, 1.3.1, ISC
which-module, 1.0.0, ISC
which-module, 2.0.0, ISC
wide-align, 1.1.0, ISC
wide-align, 1.1.2, ISC
wide-align, 1.1.3, ISC
widest-line, 2.0.0, MIT
widest-line, 2.0.1, MIT
win-spawn, 2.0.0, BSD
window-size, 0.1.0, MIT
window-size, 0.2.0, MIT
with, 5.1.1, MIT
wordwrap, 0.0.2, MIT
wordwrap, 0.0.3, MIT
wordwrap, 1.0.0, MIT
worker-farm, 1.3.1, MIT
worker-farm, 1.5.0, MIT
worker-farm, 1.6.0, MIT
worker-farm, 1.7.0, MIT
worker-loader, 2.0.0, MIT
wrap-ansi, 2.0.0, MIT
wrap-ansi, 2.1.0, MIT
wrap-ansi, 3.0.1, MIT
wrap-ansi, 5.1.0, MIT
wrappy, 1.0.2, ISC
wrench, 1.5.8, MIT
write, 0.2.1, MIT
write, 1.0.3, MIT
write-file-atomic, 1.3.4, ISC
write-file-atomic, 2.3.0, ISC
write-file-atomic, 2.4.1, ISC
write-file-atomic, 2.4.2, ISC
ws, 1.1.1, MIT
ws, 1.1.2, MIT
ws, 1.1.5, MIT
ws, 3.3.3, MIT
ws, 4.0.0, MIT
ws, 5.2.2, MIT
ws, 6.1.2, MIT
ws, 6.2.1, MIT
wtf-8, 1.0.0, MIT
xdg-basedir, 3.0.0, MIT
xhr, 2.4.1, unknown
xhr, 2.5.0, MIT
xhr-request, 1.0.1, unknown
xhr-request, 1.1.0, MIT
xhr-request-promise, 0.1.2, MIT
xhr-write-stream, 0.1.2, MIT
xhr2, 0.1.4, MIT
xhr2, 0.2.0, MIT
xml-char-classes, 1.0.0, MIT
xml-name-validator, 2.0.1, WTFPL
xml-name-validator, 3.0.0, "Apache 2.0"
xmldom, 0.1.22, MIT*
xmldom, 0.1.27, MIT*
xmlhttprequest, 1.8.0, MIT
xmlhttprequest-ssl, 1.5.1, MIT
xmlhttprequest-ssl, 1.5.3, MIT
xregexp, 4.0.0, MIT
xtend, 1.0.3, MIT
xtend, 2.1.2, MIT
xtend, 3.0.0, MIT
xtend, 4.0.1, MIT
xtend, 4.0.2, MIT
y18n, 3.2.1, ISC
y18n, 4.0.0, ISC
yaeti, 0.0.6, MIT
yallist, 2.0.0, ISC
yallist, 2.1.2, ISC
yallist, 3.0.2, ISC
yallist, 3.0.3, ISC
yargs, 10.1.2, MIT
yargs, 11.1.0, MIT
yargs, 12.0.2, MIT
yargs, 12.0.5, MIT
yargs, 13.2.4, MIT
yargs, 3.10.0, MIT
yargs, 3.5.4, MIT
yargs, 4.8.1, MIT
yargs, 6.6.0, MIT
yargs, 7.1.0, MIT
yargs, 8.0.2, MIT
yargs, 9.0.1, MIT
yargs-parser, 10.1.0, ISC
yargs-parser, 11.1.1, ISC
yargs-parser, 13.1.0, ISC
yargs-parser, 2.4.1, ISC
yargs-parser, 4.2.1, ISC
yargs-parser, 5.0.0, ISC
yargs-parser, 7.0.0, ISC
yargs-parser, 8.1.0, ISC
yargs-parser, 9.0.2, ISC
yauzl, 2.10.0, MIT
yauzl, 2.4.1, MIT
yauzl, 2.8.0, MIT
yauzl, 2.9.1, unknown
yeast, 0.1.2, MIT
yorkie, 2.0.0, MIT
zxcvbn, 4.4.2, MIT", 1.0.0, ISC
1to2, 1.0.0, MIT
@babel/code-frame, 7.0.0, MIT
@babel/code-frame, 7.0.0-beta.39, MIT
@babel/code-frame, 7.0.0-beta.44, MIT
@babel/core, 7.0.1, MIT
@babel/core, 7.2.2, MIT
@babel/core, 7.4.3, MIT
@babel/core, 7.4.5, MIT
@babel/generator, 7.0.0-beta.44, MIT
@babel/generator, 7.2.2, MIT
@babel/generator, 7.4.0, MIT
@babel/generator, 7.4.4, MIT
@babel/helper-annotate-as-pure, 7.0.0, MIT
@babel/helper-builder-binary-assignment-operator-visitor, 7.1.0, MIT
@babel/helper-builder-react-jsx, 7.3.0, MIT
@babel/helper-call-delegate, 7.1.0, MIT
@babel/helper-call-delegate, 7.4.0, MIT
@babel/helper-call-delegate, 7.4.4, MIT
@babel/helper-create-class-features-plugin, 7.2.3, MIT
@babel/helper-create-class-features-plugin, 7.4.3, MIT
@babel/helper-create-class-features-plugin, 7.4.4, MIT
@babel/helper-define-map, 7.1.0, MIT
@babel/helper-define-map, 7.4.0, MIT
@babel/helper-define-map, 7.4.4, MIT
@babel/helper-explode-assignable-expression, 7.1.0, MIT
@babel/helper-function-name, 7.0.0-beta.44, MIT
@babel/helper-function-name, 7.1.0, MIT
@babel/helper-get-function-arity, 7.0.0, MIT
@babel/helper-get-function-arity, 7.0.0-beta.44, MIT
@babel/helper-hoist-variables, 7.0.0, MIT
@babel/helper-hoist-variables, 7.4.0, MIT
@babel/helper-hoist-variables, 7.4.4, MIT
@babel/helper-member-expression-to-functions, 7.0.0, MIT
@babel/helper-module-imports, 7.0.0, MIT
@babel/helper-module-transforms, 7.2.2, MIT
@babel/helper-module-transforms, 7.4.3, MIT
@babel/helper-module-transforms, 7.4.4, MIT
@babel/helper-optimise-call-expression, 7.0.0, MIT
@babel/helper-plugin-utils, 7.0.0, MIT
@babel/helper-regex, 7.0.0, MIT
@babel/helper-regex, 7.4.3, MIT
@babel/helper-regex, 7.4.4, MIT
@babel/helper-remap-async-to-generator, 7.1.0, MIT
@babel/helper-replace-supers, 7.2.3, MIT
@babel/helper-replace-supers, 7.4.0, MIT
@babel/helper-replace-supers, 7.4.4, MIT
@babel/helper-simple-access, 7.1.0, MIT
@babel/helper-split-export-declaration, 7.0.0, MIT
@babel/helper-split-export-declaration, 7.0.0-beta.44, MIT
@babel/helper-split-export-declaration, 7.4.0, MIT
@babel/helper-split-export-declaration, 7.4.4, MIT
@babel/helper-wrap-function, 7.2.0, MIT
@babel/helpers, 7.2.0, MIT
@babel/helpers, 7.4.3, MIT
@babel/helpers, 7.4.4, MIT
@babel/highlight, 7.0.0, MIT
@babel/highlight, 7.0.0-beta.44, MIT
@babel/parser, 7.2.3, MIT
@babel/parser, 7.4.3, MIT
@babel/parser, 7.4.5, MIT
@babel/plugin-proposal-async-generator-functions, 7.2.0, MIT
@babel/plugin-proposal-class-properties, 7.2.3, MIT
@babel/plugin-proposal-class-properties, 7.4.0, MIT
@babel/plugin-proposal-class-properties, 7.4.4, MIT
@babel/plugin-proposal-decorators, 7.2.3, MIT
@babel/plugin-proposal-decorators, 7.4.0, MIT
@babel/plugin-proposal-decorators, 7.4.4, MIT
@babel/plugin-proposal-json-strings, 7.2.0, MIT
@babel/plugin-proposal-object-rest-spread, 7.2.0, MIT
@babel/plugin-proposal-object-rest-spread, 7.4.3, MIT
@babel/plugin-proposal-object-rest-spread, 7.4.4, MIT
@babel/plugin-proposal-optional-catch-binding, 7.2.0, MIT
@babel/plugin-proposal-unicode-property-regex, 7.2.0, MIT
@babel/plugin-proposal-unicode-property-regex, 7.4.0, MIT
@babel/plugin-proposal-unicode-property-regex, 7.4.4, MIT
@babel/plugin-syntax-async-generators, 7.2.0, MIT
@babel/plugin-syntax-decorators, 7.2.0, MIT
@babel/plugin-syntax-dynamic-import, 7.2.0, MIT
@babel/plugin-syntax-json-strings, 7.2.0, MIT
@babel/plugin-syntax-jsx, 7.2.0, MIT
@babel/plugin-syntax-object-rest-spread, 7.2.0, MIT
@babel/plugin-syntax-optional-catch-binding, 7.2.0, MIT
@babel/plugin-transform-arrow-functions, 7.2.0, MIT
@babel/plugin-transform-async-to-generator, 7.2.0, MIT
@babel/plugin-transform-async-to-generator, 7.4.0, MIT
@babel/plugin-transform-async-to-generator, 7.4.4, MIT
@babel/plugin-transform-block-scoped-functions, 7.2.0, MIT
@babel/plugin-transform-block-scoping, 7.2.0, MIT
@babel/plugin-transform-block-scoping, 7.4.0, MIT
@babel/plugin-transform-block-scoping, 7.4.4, MIT
@babel/plugin-transform-classes, 7.2.2, MIT
@babel/plugin-transform-classes, 7.4.3, MIT
@babel/plugin-transform-classes, 7.4.4, MIT
@babel/plugin-transform-computed-properties, 7.2.0, MIT
@babel/plugin-transform-destructuring, 7.2.0, MIT
@babel/plugin-transform-destructuring, 7.4.3, MIT
@babel/plugin-transform-destructuring, 7.4.4, MIT
@babel/plugin-transform-dotall-regex, 7.2.0, MIT
@babel/plugin-transform-dotall-regex, 7.4.3, MIT
@babel/plugin-transform-dotall-regex, 7.4.4, MIT
@babel/plugin-transform-duplicate-keys, 7.2.0, MIT
@babel/plugin-transform-exponentiation-operator, 7.2.0, MIT
@babel/plugin-transform-for-of, 7.2.0, MIT
@babel/plugin-transform-for-of, 7.4.3, MIT
@babel/plugin-transform-for-of, 7.4.4, MIT
@babel/plugin-transform-function-name, 7.2.0, MIT
@babel/plugin-transform-function-name, 7.4.3, MIT
@babel/plugin-transform-function-name, 7.4.4, MIT
@babel/plugin-transform-literals, 7.2.0, MIT
@babel/plugin-transform-member-expression-literals, 7.2.0, MIT
@babel/plugin-transform-modules-amd, 7.2.0, MIT
@babel/plugin-transform-modules-commonjs, 7.2.0, MIT
@babel/plugin-transform-modules-commonjs, 7.4.3, MIT
@babel/plugin-transform-modules-commonjs, 7.4.4, MIT
@babel/plugin-transform-modules-systemjs, 7.2.0, MIT
@babel/plugin-transform-modules-systemjs, 7.4.0, MIT
@babel/plugin-transform-modules-systemjs, 7.4.4, MIT
@babel/plugin-transform-modules-umd, 7.2.0, MIT
@babel/plugin-transform-named-capturing-groups-regex, 7.4.2, MIT
@babel/plugin-transform-named-capturing-groups-regex, 7.4.5, MIT
@babel/plugin-transform-new-target, 7.0.0, MIT
@babel/plugin-transform-new-target, 7.4.0, MIT
@babel/plugin-transform-new-target, 7.4.4, MIT
@babel/plugin-transform-object-super, 7.2.0, MIT
@babel/plugin-transform-parameters, 7.2.0, MIT
@babel/plugin-transform-parameters, 7.4.3, MIT
@babel/plugin-transform-parameters, 7.4.4, MIT
@babel/plugin-transform-property-literals, 7.2.0, MIT
@babel/plugin-transform-react-display-name, 7.2.0, MIT
@babel/plugin-transform-react-jsx, 7.3.0, MIT
@babel/plugin-transform-react-jsx-self, 7.2.0, MIT
@babel/plugin-transform-react-jsx-source, 7.2.0, MIT
@babel/plugin-transform-regenerator, 7.0.0, MIT
@babel/plugin-transform-regenerator, 7.4.3, MIT
@babel/plugin-transform-regenerator, 7.4.5, MIT
@babel/plugin-transform-reserved-words, 7.2.0, MIT
@babel/plugin-transform-runtime, 7.2.0, MIT
@babel/plugin-transform-runtime, 7.4.3, MIT
@babel/plugin-transform-runtime, 7.4.4, MIT
@babel/plugin-transform-shorthand-properties, 7.2.0, MIT
@babel/plugin-transform-spread, 7.2.2, MIT
@babel/plugin-transform-sticky-regex, 7.2.0, MIT
@babel/plugin-transform-template-literals, 7.2.0, MIT
@babel/plugin-transform-template-literals, 7.4.4, MIT
@babel/plugin-transform-typeof-symbol, 7.2.0, MIT
@babel/plugin-transform-unicode-regex, 7.2.0, MIT
@babel/plugin-transform-unicode-regex, 7.4.3, MIT
@babel/plugin-transform-unicode-regex, 7.4.4, MIT
@babel/polyfill, 7.4.3, MIT
@babel/preset-env, 7.0.0, MIT
@babel/preset-env, 7.2.3, MIT
@babel/preset-env, 7.3.4, MIT
@babel/preset-env, 7.4.3, MIT
@babel/preset-react, 7.0.0, MIT
@babel/runtime, 7.2.0, MIT
@babel/runtime, 7.4.3, MIT
@babel/runtime, 7.4.5, MIT
@babel/runtime-corejs2, 7.4.3, MIT
@babel/runtime-corejs2, 7.4.5, MIT
@babel/template, 7.0.0-beta.44, MIT
@babel/template, 7.2.2, MIT
@babel/template, 7.4.0, MIT
@babel/template, 7.4.4, MIT
@babel/traverse, 7.0.0-beta.44, MIT
@babel/traverse, 7.2.3, MIT
@babel/traverse, 7.4.3, MIT
@babel/traverse, 7.4.5, MIT
@babel/types, 7.0.0-beta.44, MIT
@babel/types, 7.2.2, MIT
@babel/types, 7.4.0, MIT
@babel/types, 7.4.4, MIT
@bootstrap-vue/alert, 1.0.0, unknown
@bootstrap-vue/badge, 1.0.0, unknown
@bootstrap-vue/breadcrumb, 1.0.0, unknown
@bootstrap-vue/button, 1.0.0, unknown
@bootstrap-vue/button-group, 1.0.0, unknown
@bootstrap-vue/button-toolbar, 1.0.0, unknown
@bootstrap-vue/card, 1.0.0, unknown
@bootstrap-vue/carousel, 1.0.0, unknown
@bootstrap-vue/collapse, 1.0.0, unknown
@bootstrap-vue/dropdown, 1.0.0, unknown
@bootstrap-vue/embed, 1.0.0, unknown
@bootstrap-vue/form, 1.0.0, unknown
@bootstrap-vue/form-checkbox, 1.0.0, unknown
@bootstrap-vue/form-file, 1.0.0, unknown
@bootstrap-vue/form-group, 1.0.0, unknown
@bootstrap-vue/form-input, 1.1.0, unknown
@bootstrap-vue/form-radio, 1.0.0, unknown
@bootstrap-vue/form-select, 1.0.0, unknown
@bootstrap-vue/form-textarea, 1.0.0, unknown
@bootstrap-vue/image, 1.0.0, unknown
@bootstrap-vue/input-group, 1.0.0, unknown
@bootstrap-vue/jumbotron, 1.0.0, unknown
@bootstrap-vue/layout, 1.0.0, unknown
@bootstrap-vue/link, 1.0.0, unknown
@bootstrap-vue/list-group, 1.0.0, unknown
@bootstrap-vue/media, 1.0.0, unknown
@bootstrap-vue/modal, 1.0.0, unknown
@bootstrap-vue/nav, 1.0.0, unknown
@bootstrap-vue/navbar, 1.0.0, unknown
@bootstrap-vue/pagination, 1.0.0, unknown
@bootstrap-vue/popover, 0.0.0, unknown
@bootstrap-vue/popover, 1.0.0, unknown
@bootstrap-vue/progress, 1.0.0, unknown
@bootstrap-vue/scrollspy, 0.0.0, unknown
@bootstrap-vue/spinner, 1.0.0, unknown
@bootstrap-vue/table, 1.0.0, unknown
@bootstrap-vue/tabs, 1.0.0, unknown
@bootstrap-vue/toast, 1.0.0, unknown
@bootstrap-vue/tooltip, 0.0.0, unknown
@bootstrap-vue/tooltip, 1.0.0, unknown
@cnakazawa/watch, 1.0.3, "Apache 2.0"
@cypress/listr-verbose-renderer, 0.4.1, MIT
@cypress/webpack-preprocessor, 3.0.1, MIT
@cypress/xvfb, 1.2.3, MIT
@cypress/xvfb, 1.2.4, MIT
@hapi/address, 2.0.0, "New BSD"
@hapi/hoek, 6.2.4, "New BSD"
@hapi/joi, 15.0.3, "New BSD"
@hapi/topo, 3.1.0, "New BSD"
@intervolga/optimize-cssnano-plugin, 1.0.6, MIT
@jest/console, 24.7.1, MIT
@jest/core, 24.7.1, MIT
@jest/environment, 24.7.1, MIT
@jest/fake-timers, 24.7.1, MIT
@jest/reporters, 24.7.1, MIT
@jest/source-map, 24.3.0, MIT
@jest/test-result, 24.7.1, MIT
@jest/test-sequencer, 24.7.1, MIT
@jest/transform, 24.7.1, MIT
@jest/types, 24.7.0, MIT
@johmun/vue-tags-input, 2.0.1, MIT
@mdi/font, 2.8.94, "(OFL-1.1 OR MIT)"
@mrmlnc/readdir-enhanced, 2.2.1, MIT
@my-scope/package-a, 0.0.0, MIT
@my-scope/package-b, 0.0.0, MIT
@nodelib/fs.stat, 1.1.3, MIT
@nuxt/opencollective, 0.2.2, MIT
@proxeus/core, 1.0.0, UNKNOWN
@proxeus/wallet, 1.0.0, UNKNOWN
@soda/friendly-errors-webpack-plugin, 1.7.1, MIT
@tap-format/exit, 0.2.0, MIT
@tap-format/failures, 0.2.0, MIT
@tap-format/parser, 0.2.0, MIT
@tap-format/results, 0.2.0, MIT
@tap-format/spec, 0.2.0, MIT
@types/babel-types, 7.0.4, MIT
@types/babel-types, 7.0.6, MIT
@types/babel__core, 7.1.1, MIT
@types/babel__generator, 7.0.2, MIT
@types/babel__template, 7.0.2, MIT
@types/babel__traverse, 7.0.6, MIT
@types/babylon, 6.16.4, MIT
@types/babylon, 6.16.5, MIT
@types/blob-util, 1.3.3, MIT
@types/bluebird, 3.5.18, MIT
@types/chai, 4.0.8, MIT
@types/chai, 4.1.7, MIT
@types/chai-jquery, 1.1.35, MIT
@types/estree, 0.0.39, MIT
@types/events, 3.0.0, MIT
@types/glob, 7.1.1, MIT
@types/istanbul-lib-coverage, 2.0.0, MIT
@types/jquery, 3.3.28, MIT
@types/jquery, 3.3.6, MIT
@types/lodash, 4.14.87, MIT
@types/minimatch, 3.0.3, MIT
@types/mocha, 2.2.44, MIT
@types/node, 10.12.18, MIT
@types/node, 11.13.4, MIT
@types/node, 12.0.2, MIT
@types/normalize-package-data, 2.4.0, MIT
@types/q, 1.5.1, MIT
@types/q, 1.5.2, MIT
